"Notes"	"County"	"County Code"	"Ethnicity"	"Ethnicity Code"	Population
	"Autauga County, AL"	"01001"	"Hispanic or Latino"	"2135-2"	1490
	"Autauga County, AL"	"01001"	"Not Hispanic or Latino"	"2186-5"	53926
"Total"	"Autauga County, AL"	"01001"			55416
	"Baldwin County, AL"	"01003"	"Hispanic or Latino"	"2135-2"	9211
	"Baldwin County, AL"	"01003"	"Not Hispanic or Latino"	"2186-5"	199352
"Total"	"Baldwin County, AL"	"01003"			208563
	"Barbour County, AL"	"01005"	"Hispanic or Latino"	"2135-2"	1094
	"Barbour County, AL"	"01005"	"Not Hispanic or Latino"	"2186-5"	24871
"Total"	"Barbour County, AL"	"01005"			25965
	"Bibb County, AL"	"01007"	"Hispanic or Latino"	"2135-2"	566
	"Bibb County, AL"	"01007"	"Not Hispanic or Latino"	"2186-5"	22077
"Total"	"Bibb County, AL"	"01007"			22643
	"Blount County, AL"	"01009"	"Hispanic or Latino"	"2135-2"	5233
	"Blount County, AL"	"01009"	"Not Hispanic or Latino"	"2186-5"	52471
"Total"	"Blount County, AL"	"01009"			57704
	"Bullock County, AL"	"01011"	"Hispanic or Latino"	"2135-2"	807
	"Bullock County, AL"	"01011"	"Not Hispanic or Latino"	"2186-5"	9555
"Total"	"Bullock County, AL"	"01011"			10362
	"Butler County, AL"	"01013"	"Hispanic or Latino"	"2135-2"	262
	"Butler County, AL"	"01013"	"Not Hispanic or Latino"	"2186-5"	19736
"Total"	"Butler County, AL"	"01013"			19998
	"Calhoun County, AL"	"01015"	"Hispanic or Latino"	"2135-2"	4100
	"Calhoun County, AL"	"01015"	"Not Hispanic or Latino"	"2186-5"	110511
"Total"	"Calhoun County, AL"	"01015"			114611
	"Chambers County, AL"	"01017"	"Hispanic or Latino"	"2135-2"	765
	"Chambers County, AL"	"01017"	"Not Hispanic or Latino"	"2186-5"	33078
"Total"	"Chambers County, AL"	"01017"			33843
	"Cherokee County, AL"	"01019"	"Hispanic or Latino"	"2135-2"	413
	"Cherokee County, AL"	"01019"	"Not Hispanic or Latino"	"2186-5"	25312
"Total"	"Cherokee County, AL"	"01019"			25725
	"Chilton County, AL"	"01021"	"Hispanic or Latino"	"2135-2"	3341
	"Chilton County, AL"	"01021"	"Not Hispanic or Latino"	"2186-5"	40600
"Total"	"Chilton County, AL"	"01021"			43941
	"Choctaw County, AL"	"01023"	"Hispanic or Latino"	"2135-2"	125
	"Choctaw County, AL"	"01023"	"Not Hispanic or Latino"	"2186-5"	12868
"Total"	"Choctaw County, AL"	"01023"			12993
	"Clarke County, AL"	"01025"	"Hispanic or Latino"	"2135-2"	348
	"Clarke County, AL"	"01025"	"Not Hispanic or Latino"	"2186-5"	24044
"Total"	"Clarke County, AL"	"01025"			24392
